2019-10-10 13:38:48,836 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:67f6469ec5bc-44026-1570714724350-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2019-10-10 13:38:48,840 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2019-10-10 13:38:48,840 | INFO  | Connector openwire-ssl stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2019-10-10 13:38:48,844 | INFO  | PListStore:[/opt/activemq/activemq-data/ConnectorA/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2019-10-10 13:38:48,864 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:67f6469ec5bc-44026-1570714724350-0:1) uptime 4.625 seconds | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2019-10-10 13:38:48,864 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:67f6469ec5bc-44026-1570714724350-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2019-10-10 13:39:33,744 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@f6c48ac: startup date [Thu Oct 10 13:39:33 GMT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-10-10 13:39:37,195 | WARN  | Memory Usage for the Broker (1024mb) is more than the maximum available for the JVM: 989 mb - resetting to 70% of maximum available: 692 mb | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:39:37,276 | INFO  | Using Persistence Adapter: MemoryPersistenceAdapter | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:39:37,276 | INFO  | PListStore:[/opt/activemq/activemq-data/ConnectorA/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-10-10 13:39:37,425 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2019-10-10 13:39:37,630 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:9496d55fa9f5-42056-1570714777318-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:39:37,691 | INFO  | Listening for connections at: tcp://9496d55fa9f5:61816?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-10 13:39:37,706 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-10-10 13:39:37,805 | INFO  | Listening for connections at: ssl://9496d55fa9f5:61716?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-10 13:39:37,813 | INFO  | Connector openwire-ssl started | org.apache.activemq.broker.TransportConnector | main
2019-10-10 13:39:37,814 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:9496d55fa9f5-42056-1570714777318-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:39:37,814 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
